Unnamed: 0,Titulo,Categoria,Autor,Data,URL,Noticia,Label,Subtitulo
12263,"Acre só processou 4% dos exames de covid-19, diz Ministério da Saúde  ",saúde,Gabriela Sá Pessoa,09/06/2020 20h40 ,,"com 8.223 testes de covid-19 solicitados em análise nos laboratórios públicos, o acre registra a menor taxa de resultados prontos no país. apenas 4% dos exames no estado tinham sido processados até a semana passada, segundo o ministério da saúde informou ao uol hoje. os números informados agora referem-se a 3 de junho, última data para a qual há informações sobre exames no país. na quinta-feira (4), o governo federal atualizou a quantidade de exames realizada em todo o país: 752.448 até a véspera. na ocasião, porém, não esclareceu quantos desses testes já tinham sido analisados.",0,
11041,Bach: adiamento de Tóquio-2020 custará 'centenas de milhões de dólares'  ,saúde,Da Agência Brasil,29/04/2020 16h16 ,,"o presidente do comitê olímpico internacional (coi), o alemão thomas bach, divulgou nesta quarta (29) uma carta a todo movimento olímpico na qual afirma, entre outras coisas, que o adiamento dos jogos de tóquio para [julho de] 2021 fará com que a entidade arque ""com várias centenas de milhões de dólares em custos de adiamento"". "" de nossa parte, deixamos claro que o coi continuará sendo responsável por sua parcela da carga operacional e sua parcela dos custos dos jogos adiados, nos termos do contrato existente para 2020 que temos com nossos parceiros e amigos japoneses. na carta, de título ""olimpismo e corona"", o dirigente afirma que a pandemia do novo coronavírus (covid-19) criou uma incerteza que ainda ""está longe de diminuir"". bach também destaca o que chama de ""longa e profunda crise econômica"" que atingirá o mundo do esporte, tendo efeitos diferentes de país para país: ""isso dependerá muito da importância que os governos darão ao enorme capital social representado pelo esporte quando se trata da alocação da assistência financeira fornecida por eles para a recuperação da economia.",0,
6830,Elenco do Flamengo volta ao Ninho para fazer exames e avaliações físicas  ,saúde,18/05/2020 10h42 ,18/05/2020 10h42 ,,"o elenco do flamengo retornou ao ninho do urubu, na manhã de hoje (18), para realizar exames e avaliações físicas. de acordo com nota emitida pelo clube, o procedimento respeita as medidas acordadas com a federação de futebol do estado do rio de janeiro (ferj) e será feito de maneira periódica em atletas e colaboradores envolvidos na rotina do departamento de futebol no centro de treinamento. ainda segundo o fla, ""neste primeiro período estão no ct os jogadores e funcionários que testaram negativo para a covid-19. não será permitida a entrada de ninguém que não faça parte deste grupo de pessoas, já examinadas e comprovadamente sem o novo coronavírus"". nesta nova rodada, os rubro-negros usaram máscaras personalizadas com os seguintes dizeres: ""força, nação.",0,
19746,"Gastos com covid-19 vão a R$ 36,1 bi em 2021, diz órgão do Senado  ",saúde,Adriana Fernandes,19/01/2021 07h07 ,,"a ifi (instituição fiscal independente) do senado calculou, em relatório divulgado ontem, que os gastos com a covid-19 em 2021 somam r$ 36,1 bilhões até o momento. esse valor está relacionado às despesas transferidas de 2020 para 2021, chamadas no jargão orçamentário de restos a pagar —de r$ 16,1 bilhões, mais o crédito de r$ 20 bilhões para implementação da vacinação. segundo a ifi, dos r$ 16,1 bilhões em restos a pagar, r$ 2,3 bilhões são relativos ao auxílio emergencial a vulneráveis e trabalhadores informais e r$ 8 bilhões tem a ver com o benefício a trabalhadores formais.",0,
24111,Chile vacina mais de 15% da população e lidera a corrida na América Latina  ,saúde,Fernanda Simas,24/02/2021 12h00Atualizada em 24/02/2021 12h28 ,,"são paulo - o bom planejamento na compra de imunizantes contra a covid-19, colocando de lado o peso ideológico, e a estrutura centralizada fizeram com que o chile garantisse doses suficientes para vacinar duas vezes sua população e se tornasse o único país da américa do sul com mais de 10% de seus habitantes vacinados até meados de fevereiro. ""o país começou a trabalhar em maio do ano passado para ter vacina segura e eficaz, em quantidade adequada para os chilenos. o chile negociou mais cedo do que outros países e começou a vacinação em um ritmo muito forte, com cerca de 150 mil a 200 mil cidadãos vacinados por dia"", afirmou moisés marques, professor de relações internacionais da fundação escola de sociologia e política de são paulo (fesp).a maior parte das vacinas administradas pelo governo foi adquirida da chinesa sinovac, 4 milhões de doses já foram entregues e outras 4,5 milhões devem chegar entre os dias 25 e 26, segundo o ministério da saúde. isso se deve à organização e não colocar o peso ideológico na negociação"", disse marques. no brasil, temos a união, estados, municípios.",0,
15032,Brasil registra 3.887.199 de pessoas recuperadas,saúde,Ministério da Saúde (61) 3315-3580 / 2351 / 3713,21/09/2020 19h21,,"o brasil alcançou a marca de 3.887.199 pessoas curadas da covid-19. no mundo, estima-se que pelo menos 17 milhões de pessoas diagnosticadas com covid-19 já se recuperaram. o número de pessoas curadas no brasil é superior à quantidade de casos ativos (533.597), que são os pacientes em acompanhamento médico. a doença está presente em 99,6% dos municípios brasileiros. o governo do brasil mantém esforço contínuo para garantir o atendimento em saúde à população, em parceria com estados e municípios, desde o início da pandemia. o objetivo é cuidar da saúde de todos e salvar vidas, além de promover e prevenir a saúde da população.",0,
25585,MPF-PE envia à CPI da Covid provas da Operação Apneia  ,política,Pepita Ortega,30/04/2021 20h36 ,,"o ministério público federal em pernambuco informou nesta sexta-feira, 30, que encaminhou à cpi da covid as informações colhidas no âmbito da operação apneia, que investiga supostas irregularidades em contratos da prefeitura de recife para compra de 500 respiradores para combate à pandemia. a decisão que autorizou o envio das informações foi proferida na noite de quarta-feira, 28, pelo juiz augusto cesar de carvalho leal, substituto da 36ª vara federal de pernambuco, e atendeu um pedido do ministério público federal. no despacho, o magistrado determinou que a procuradoria e o senado preservem, ""no seu âmbito e no encaminhamento das provas de um para o outro, do sigilo das informações eventualmente ainda protegidas, por lei ou por qualquer segredo de justiça específico porventura vigente, contra a divulgação para o público em geral"".",0,
13286,"Covid: Potenciais vacinas não liberam a população a sair de casa e voltar a viver normalmente, dizem médicos  ",saúde,07/08/2020 20h26 ,07/08/2020 20h26 ,,"em debate promovido pelo uol, médicos alertaram que potenciais vacinas contra o coronavírus não liberam a população a sair de casa e voltar a viver normalmente, apesar de estarem em estágio avançado de estudo.",0,
23229,Três médicos que tratavam de covid-19 caíram da janela na Rússia  ,saúde,05/05/2020 15h33 ,05/05/2020 15h33 ,,"em apenas 10 dias, três médicos russos que trabalhavam na linha de frente do combate ao coronavírus, caíram da janela em circunstâncias misteriosas. alexander shulepov, que havia sido diagnosticado com covid-19 e forçado a trabalhar, caiu do segundo andar. ele foi o único médico que sobreviveu à queda. ainda assim, o médico teve fraturas no crânio e seu estado de saúde é considerado grave. as médicas yelena nepomnyashchaya e natalya lebedeva não tiveram a mesma sorte e morreram. veículos locais sugerem que lebedeva tenha cometido suicídio após ser acusada por seus superiores de infectar colegas de trabalho com coronavírus.",0,
24983,Samba contra a Covid-19  ,saúde,24/05/2020 22h12 ,24/05/2020 22h12 ,,"a escola de samba unidos de padre miguel realiza uma ação na vila vintém que oferece atendimento gratuito contra a covid-19 para moradores. a letalidade em regiões mais pobres do rio de janeiro é classificada como 'infinitamente' maior, se comparada a bairros nobres da cidade.",0,
12437,Covid-19: Itália atinge pico  ,saúde,31/03/2020 19h15 ,31/03/2020 19h15 ,,"o presidente do instituto superior de saúde italiano, silvio brusaferro, informou, nesta terça-feira que o país atingiu o pico da pandemia do novo coronavírus. no mesmo dia, os italianos fizeram um minuto de silência em memória das vítimas da covid-19.",0,
12879,Portugal chega a 160 mortes em decorrência da infecção pelo novo coronavírus  ,saúde,31/03/2020 19h32 ,31/03/2020 19h32 ,,"portugal registrou nesta terça-feira 20 mortes a mais em decorrência da infecção pelo novo coronavírus, elevando o total no país para 160, ao mesmo tempo em que o número de pessoas afetadas chega a 7.443. na comparação ao boletim divulgado ontem pelo governo local, o número de mortos subiu 14,3%. já o de infectados subiu pouco mais de 1 mil, em apenas um dia. atualmente, 627 pessoas que deram positivo para o novo coronavírus estão hospitalizadas, sendo que 188 estão em unidades de terapia intensiva. hoje, representantes da direção geral de saúde, responsáveis por apresentarem os dados, explicaram que aconteceu um equívoco nos dados da véspera referentes ao norte do país, que dobraram em 24 horas, chegando a quase mil.",0,
18628,Queiroga visita fábrica de insumos veterinários para ampliar produção de vacinas Covid-19,saúde,Ministério da Saúde(61) 3315-3580 / 2351,21/05/2021 14h46,,"com o compromisso de ampliar ainda mais a campanha de vacinação contra a covid-19 no brasil, o ministro da saúde, marcelo queiroga, visitou nesta sexta-feira (21/5), uma fábrica de insumos veterinários que possui grande potencial para se tornar um novo produtor de vacinas covid-19. com mais de 180 mil m² de estrutura, a fábrica produz mais de 80 milhões de doses da vacina contra a febre aftosa por ano. o projeto está em análise pela câmara dos deputados. ainda que o projeto seja aprovado no congresso nacional, a ourofino depende, ainda, da aquisição de equipamentos de proteção individual, necessários para a produção do imunizante, bem como da certificação de boas práticas concedida pela agência nacional de vigilância em saúde (anvisa), e da transferência de tecnologia que será acordada com as farmacêuticas detentoras da expertise.",0,
15263,Eduardo Paes deixa o DEM e vai se filiar ao PSD  ,política,04/05/2021 15h28Atualizada em 04/05/2021 18h22 ,04/05/2021 15h28Atualizada em 04/05/2021 18h22 ,,"o prefeito do rio de janeiro, eduardo paes, deixou o dem e vai se filiar ao psd, presidido por gilberto kassab. a informação foi confirmada ao uol por uma fonte do partido. paes filiou-se ao dem em 2018, após deixar o mdb, para disputar o governo do estado. na ocasião, ele foi derrotado por wilson witzel (psc). witzel teve o impeachment confirmado na semana passada pelo tem (tribunal especial misto) por 10 votos a 0. ele era acusado de irregularidades em licitações para a área da saúde durante a pandemia. com o resultado, o então vice, claudio castro (psc), tomou posse no sábado (1) como novo governador do estado do rio de janeiro.",0,
16410,"Covid: Esperamos provar eficácia da vacina ainda este ano, diz pesquisadora  ",saúde,Nádia Pontes,21/08/2020 14h37 ,,"no brasil desde março devido à pandemia de covid-19, a médica infectologista brasileira sue ann costa clemens chefia os testes clínicos de fase 3 da vacina de oxford contra a doença. desenvolvida em parceria entre a universidade britânica e a farmacêutica astrazeneca, a vacina é considerada a mais avançada na luta contra o coronavirus. dentre os 5.000 voluntários previstos para participar dos testes, 4.000 já foram vacinados nos três centros distribuídos entre os estados de são paulo, rio de janeiro e bahia. "" a gente só tem a agradecer à população brasileira. a gente poderia estar aqui com o melhor time e com uma vacina para ser testada e não ter voluntários"", disse a médica. """,0,
11524,Congresso livrou 6 parlamentares e cassou 2 acusados de homicídio  ,política,Luciana Amaral,29/08/2020 04h00Atualizada em 29/08/2020 12h51 ,,"a denúncia do ministério público contra a deputada federal flordelis (psd-rj), sob a suspeita de que mandou matar o marido, anderson do carmo, é motivo de pedido de cassação de seu mandato — o caso, ainda sob avaliação, deve ser discutido na semana que vem na câmara. no entanto, a história mostra que nem sempre deputados e senadores cassaram seus pares acusados de assassinato. ao menos seis congressistas acusados de homicídio ou de tentativa de homicídio se livraram de alguma punição dos colegas e dois deputados foram cassados: hildebrando pascoal, ex-coronel da polícia militar, conhecido por integrar grupo de extermínio que utilizava motosserra para cometer assassinatos no acre na década de 1990, e talvane albuquerque, suplente acusado de mandar matar a deputada cuja vaga assumiria. na época, o deputado era delegado da polícia civil e um dos responsáveis pela ação policial, que acabou na morte de um suspeito de tráfico.",0,
23480,"""Querem ver seringa"": enfermeiros relatam reações após denúncias de vacinas  ",saúde,Lucas Borges Teixeira,03/04/2021 04h00 ,,"filmar a vacinação contra covid-19, hoje, não é só para comemorar a imunização de idosos e pessoas dos grupos de risco. ao uol, enfermeiros de dois postos de saúde da cidade de são paulo narram maior desconfiança e hostilidade por parte da população. os casos denunciados são apurados pelas secretarias municipais, responsáveis pela aplicação das doses, e pelos cres (conselhos regionais de enfermagem). pedem para olhar a seringa, filmam, assistem ao vídeo no mesmo momento. alguns só querem conferir se a dose foi aplicada corretamente, outros já são mais mal educados, falam alto mesmo antes de vacinar. a gente é sempre o mais profissional possível.",0,
1069,Covid-19: Lewandowski nega prioridade a pessoas com deficiência na vacinação  ,saúde,28/01/2021 12h10 ,28/01/2021 12h10 ,,"o ministro ricardo lewandowski, do stf (supremo tribunal federal), negou ontem uma liminar (decisão provisória) para obrigar o governo a considerar todos as pessoas com deficiência como grupo prioritário na vacinação contra covid-19. o pedido foi feito pelo podemos, numa ação de descumprimento de preceito fundamental. entre outros argumentos, o partido havia alegado que o atendimento prioritário previsto na lei brasileira de inclusão (lei n. º 13.146/2015) abarca também, caso específico da pandemia, ""o recebimento prioritário de vacinas, cuidados intensivos em salas de uti e no uso de respiradores"". lewandowski considerou o pedido amplo demais para poder ser atendido. o ministro já havia negado a mesma solicitação à fbasd (federação brasileira de associações de síndrome de down).",0,
1352,Deputado paraibano morre após sofrer mal súbito durante passeio de jet ski  ,política,19/07/2020 19h02 ,19/07/2020 19h02 ,,"o vice-presidente da assembleia legislativa da paraíba, o deputado genival matias (avante), morreu neste domingo (19), em recife (pe). segundo nota oficial da al-pb, o deputado andava de jet ski quando sofreu um mal súbito e morreu. matias estava em seu terceiro mandato como deputado estadual. a assembleia decretou luto de sete dias e suspendeu as atividades pelo mesmo período. o governador da paraíba, joão azevedo (cidadania), decretou luto oficial de três dias. neste momento de dor para toda a família, nos solidarizamos com os familiares e amigos de genival, um grande político do nosso estado, que deixa grandes lições e um legado de trabalho e luta pelo povo da paraíba"", disse o presidente da al-pb na nota.",0,
19988,CPI vai cobrar Ernesto Araújo sobre negociações com a China na pandemia  ,política,17/05/2021 17h14 ,17/05/2021 17h14 ,,"em depoimento à cpi da covid, nesta terça-feira, o ex-chanceler ernesto araújo deve ser questionado sobre a sua relação conflituosa com a china. o objetivo é verificar se as críticas de ernesto ao país, principal parceiro comercial do brasil, prejudicaram as tratativas para compra de vacinas e insumos contra o novo coronavírus. o ex-ministro de relações exteriores também deve ter que falar sobre como a tese da imunidade de rebanho era tratada no governo e se existia um aconselhamento paralelo ao presidente jair bolsonaro no palácio do planalto. o intuito, neste caso, é verificar se o ministério de relações exteriores priorizou outras negociações em detrimento da aquisição de vacinas. (...)",0,
7470,"Covid: País tem déficit de 1,5 mil fiscais para vigiar condição de trabalho  ",saúde,17/07/2020 11h43 ,17/07/2020 11h43 ,,"o governo federal conta com 3.644 cargos de auditores responsáveis pela fiscalização do trabalho no brasil, mas apenas 2.050 deles estão ocupados, representando 56% do total, com um déficit de mais de 1,5 mil. às vezes, trabalhar contra sua própria vontade. o número deficitário desses profissionais cria cenário propício para o aumento da escravidão contemporânea no país, pois a fiscalização do trabalho é a base da política de combate ao trabalho escravo e os auditores fiscais do trabalho são de grande importância para a constatação dessa violação e indispensáveis para a responsabilização administrativa dos exploradores e a lavratura dos autos de resgate das vítimas escravizadas"", afirma o documento.",0,
15062,Peru supera 200.000 casos de covid-19 com hospitais quase saturados  ,saúde,09/06/2020 20h09 ,09/06/2020 20h09 ,,"o peru superou hoje a marca de 200.000 casos do novo coronavírus, o que tem provocado escassez de oxigênio para pacientes graves em lima e ameaça de colapso no sistema hospitalar da capital. a cifra de mortos subiu para 5.738, um aumento de 167 nas últimas 24 horas, enquanto os contagiados somaram 203.736, com 4.040 novos casos, segundo o balanço mais recente do ministério da saúde. os pacientes curados aumentaram para 3.373 nesta terça, totalizando 92.929 recuperados desde o registro do primeiro caso, em março. com 33 milhões de habitantes, o peru está há 12 semanas em confinamento nacional obrigatório e agora ocupa o oitavo lugar no mundo entre os países com mais casos de coronavírus, com um sistema hospitalar à beira do colapso em lima.",0,
17809,Medidas de segurança são implementadas em Notre Dame para retomada de obras  ,saúde,23/04/2020 22h50 ,23/04/2020 22h50 ,,"os trabalhos de restauração da catedral de notre dame, que foram interrompidos no dia 16 de março como precaução diante da pandemia de coronavírus, só devem ser retomados em 2021, mas os preparativos de segurança começarão na próxima segunda-feira, informou o órgão público responsável pelas obras. o general jean-louis georgelin, presidente desse órgão, disse em comunicado divulgado nesta quinta-feira que serão respeitadas as ações de distanciamento social recomendadas pelo governo francês para evitar a propagação do vírus. a entidade tem providenciado a distribuição de álcool em gel e máscaras aos trabalhadores graças a uma doação da holding lvmh, dona de marcas de luxo como louis vuitton, moët & chandon, tiffany & co., entre outras. o alojamento e a alimentação ficarão por conta da fundação heritage e da empresa de catering sodexo.",0,
5283,Covid-19: Hospitais do Chile estão perto do limite com quase 70 mil casos  ,saúde,Natalia A. Ramos Miranda,24/05/2020 16h20 ,,"o sistema de saúde do chile está sob pressão e ""muito perto do limite"", disse hoje o presidente sebastián piñera, quando o número de infecções confirmadas por coronavírus se aproximava de 70 mil após um rápido aumento nos últimos dias. o ministério da saúde registrou 3.709 novos casos no último dia, elevando o total para 69.102. o número de mortos é de 718. ""estamos muito perto do limite, porque tivemos um aumento muito grande nas necessidades e demandas de atendimento médico e de leitos em unidades de terapia intensiva e ventiladores"", disse piñera durante visita a um hospital em santiago. mais de mil pessoas foram hospitalizadas por doenças associadas ao coronavírus, segundo o governo.",0,
17286,"Bolsonaro dá indireta a Doria sobre prisões em SP: ""Atingem a alma""  ",saúde,17/04/2020 12h21Atualizada em 17/04/2020 13h43 ,17/04/2020 12h21Atualizada em 17/04/2020 13h43 ,,"o presidente jair bolsonaro (sem partido) fez hoje uma crítica indireta ao governador de são paulo, joão doria (psdb), durante a posse do novo ministro da saúde, nelson teich, em solenidade no palácio do planalto. "" essas prisões, mais que ilegais, atingem a alma de cada cidadão brasileiro. medidas como essas têm que ser rechaçadas."" "" vocês sabem que no que depender de mim, nenhum cidadão seria preso por isso nesse país. aquelas cenas prendendo uma mulher na praia, em praça pública, de um cidadão bastante forte sendo jogado ao chão, colocando algemas, eu não posso entender"", completou o mandatário.",0,
21243,China diz que EUA são 'viciados em abandonar grupos e destruir tratados'  ,saúde,01/06/2020 10h27Atualizada em 28/07/2020 16h15 ,01/06/2020 10h27Atualizada em 28/07/2020 16h15 ,,"o porta-voz do ministério das relações exteriores da china, zhao lijian, disse a jornalistas que os estados unidos tiveram um comportamento egoísta ao anunciar um plano de retirada da organização mundial da saúde (oms). segundo lijian, ""os eua tornaram-se viciados em abandonar grupos e demolir tratados"". a china ainda afirmou que a saída dos norte-americanos da oms revela uma busca pela política de poder e unilateralismo. na sexta-feira (29), donald trump anunciou que o seu país rompeu com a organização por conta da atuação no combate à pandemia de coronavírus e como ela, segundo o mandatário, atuou em prol da china.",0,
5339,Brasil registra 36.599 casos confirmados de coronavírus e 2.347 mortes,saúde,(61) 3315-3713 / 3580 / 2351,18/04/2020 20h02,,"foram 2.917 novas confirmações de casos em 24 horas. são paulo concentra a maior parte das notificações e todos os estados do país registram, ao menos, um óbito pela doença subiu para 36.599 o número de casos confirmados de coronavírus no brasil. nas últimas 24 horas foram 2.917 novas confirmações. o número de óbitos também aumentou, agora são 2.347, representando uma taxa de letalidade da doença no brasil de 6,4%. os números estão consolidados com as informações que foram repassadas pelas secretarias estaduais de saúde ao ministério da saúde até às 14h deste sábado (18). confira os números em cada estado, clicando aqui (https://covid.saude.gov.br/)",0,
17869,Crescem críticas na Índia sobre aprovação abrupta de vacina local contra Covid-19  ,saúde,Por Sachin Ravikumar,06/01/2021 11h12 ,,"bengaluru (reuters) - as críticas à aprovação pela índia de uma vacina local contra covid-19 sem comprovação de eficácia aumentaram hoje, após a notícia de que um painel regulador aprovou a vacina apenas um dia depois de pedir ao fabricante mais evidências de que funcionaria. as recomendações do comitê de especialistas (sec) do regulador indiano de medicamentos divulgadas ontem mostram que o painel pediu à bharat biotech international ltd para apresentar mais dados de eficácia para sua injeção contra covid-19 antes que pudesse considerar a aprovação. no dia seguinte, o comitê recomendou a aprovação da vacina da bharat biotech para ""uso restrito em situação de emergência no interesse público como precaução"".",0,
13488,Senado confirma Marcos Rogério como relator da MP da Eletrobras  ,política,Anne Warth,01/06/2021 18h37Atualizada em 01/06/2021 19h21 ,,"o presidente do senado, rodrigo pacheco (dem-mg), confirmou hoje a indicação de marcos rogério (dem-ro) como relator da provisória que permite a privatização da eletrobras. essa informação foi antecipada pelo broadcast no dia 20 de maio. a escolha deve facilitar a tramitação da matéria na casa, já que o senador é um dos integrantes da tropa de choque do governo na cpi (comissão parlamentar de inquérito) da covid, além de líder do partido na casa. marcos rogério tem familiaridade com assuntos ligados à energia. ele foi o relator do novo marco do setor elétrico no senado (pls 232/2016), que tramita hoje na câmara e foi renomeado (pl 414/2021).",0,
20361,"Instituto Inhotim, em Brumadinho, planeja reabertura  ",saúde,23/08/2020 15h56 ,23/08/2020 15h56 ,,"o instituto inhotim, museu a céu aberto em brumadinho, município da região metropolitana de belo horizonte, vai voltar a receber o público. as visitas foram suspensas no dia 18 de março por causa da pandemia da covid-19. mas já está certo que a reabertura do espaço vai seguir o protocolo preparado por uma consultoria especializada em infectologia, que foi contratada pelo instituto para auxiliar na definição das estratégias de prevenção e controle do novo coronavírus. "" estamos trabalhando com um cenário muito incerto. muitas instituições tiveram sinais de reabertura e depois de retrocesso. apesar da visitação suspensa, funcionários das áreas de manutenção de galerias, de obras e dos jardins se revezam para manter as instalações.",0,
